feature,logic,reason,dtype,source_cols
age_group,"pd.cut(age, [17,25,35,45,55,65,100])",EDA (Fig 03) showed 18-25 and 66+ as high-conversion bands; binning captures non-linear age effect for tree models,categorical (str),age
campaign_group,"1->'first', 2-3->'optimal', 4-6->'diminishing', >6->'over_contacted'",SQL Q07: conversion drops steeply after 3 contacts; this ordinal tier is more informative than raw count for linear models,categorical (str),campaign
pdays_actual,pdays if pdays!=999 else -1,Strips the 999 sentinel; -1 signals 'not previously contacted'. Range for real values: 0-27 days.,int,pdays
recency_group,"pdays=999->'no_prior', <=3->'very_recent', <=7->'recent', <=14->'moderate', >14->'distant'",Converts raw pdays to a 5-level ordinal recency category; previously-contacted clients (3.3% of data) show 65%+ conversion,categorical (str),pdays
previous_capped,previous.clip(upper=2),"previous is right-skewed (max=7, 99th pct=3); capping reduces outlier noise without losing information",int,previous
repeat_success,"(previously_contacted==1) & (poutcome=='success') -> 1, else 0",SQL Q08: poutcome=success + previously_contacted = 65% conversion rate. This interaction isolates the highest-value segment as a binary flag.,int (0/1),"previously_contacted, poutcome"
cellular_first,"(contact=='cellular') & (campaign==1) -> 1, else 0",EDA Fig 06: cellular outperforms telephone (14.7% vs 5.2%); first contact outperforms repeats. Interaction captures ideal scenario.,int (0/1),"contact, campaign"
high_value_segment,"(job in ['student','retired']) & (housing=='no') -> 1, else 0","Students and retirees convert at 25-31%; combining with no-housing-loan flag isolates the clearest high-value, low-debt-burden segment.",int (0/1),"job, housing"
education_encoded,illiterate=0 < basic.4y=1 < ... < university.degree=6; unknown=-1,EDA Fig 04 confirmed a monotonic upward trend from basic to university; ordinal encoding preserves this ordering. -1 for unknown is a deliberate neutral signal (not imputed).,int,education
month_num,"jan=1, feb=2, ..., dec=12",Converts month string to calendar integer for linear models; tree models can use the string directly but benefit from numeric form.,int,month
dow_num,"mon=1, tue=2, wed=3, thu=4, fri=5",Calendar ordering for linear models. EDA showed minimal variation across days (~1 pp spread) but the numeric encoding costs nothing.,int,day_of_week
"OHE: job, marital, default, housing, loan, contact, poutcome","pd.get_dummies(drop_first=True, dtype=int)",Nominal categoricals have no meaningful order; one-hot encoding is required for logistic regression and distance-based models. drop_first=True prevents perfect multicollinearity.,int (0/1) per dummy column,"job, marital, default, housing, loan, contact, poutcome"
log_campaign,log(1 + campaign),campaign is right-skewed (skewness~3.7 after capping); log1p compresses scale and improves linear model assumptions.,float,campaign
log_previous,log(1 + previous_capped),previous_capped is severely zero-inflated with rare high values; log1p brings the non-zero tail closer to the bulk.,float,previous_capped
low_rate_env,"euribor3m < 2.0 -> 1, else 0",EDA Fig 09: subscription rate doubles in low-rate environments (euribor<2). Binary flag captures this non-linear threshold effect for linear models. euribor3m is retained as continuous too.,int (0/1),euribor3m
