figure,business_question,evidence,finding,interpretation
fig01,What is the overall campaign subscription rate?,"no=36,533 (88.73%),  yes=4,639 (11.27%)",Only 11.3% of contacted clients subscribed to a term deposit.,Severe class imbalance (8:1). Models must account for this via class weighting or resampling to avoid predicting 'no' for everyone.
fig02,Which job types have the highest/lowest subscription rates?,"Highest: student (31.4%),  Lowest: blue-collar (6.9%)",Students (31.4%) and retired clients show the highest conversion; blue-collar (6.9%) and services workers the lowest.,"Students and retirees may have more disposable savings and less financial urgency, making term deposits more attractive. Targeting campaigns toward these segments could improve ROI."
fig03,Does client age influence subscription likelihood?,Highest conversion band: 66+ (46.9%); subscribed median age 37 vs non-subscribed 38,The 66+ age group has the highest conversion (46.9%). The KDE shows subscribed clients skew slightly older.,Younger (18-25) and older (66+) clients convert better than the core working age 36-55 bracket. Younger clients may be in early savings mode; older clients may have capital to deploy. Mid-career clients have more competing financial priorities.
fig04,Does education level predict subscription?,Highest conversion: illiterate (22.2%); university.degree=13.7% vs basic.4y=10.2%,University degree holders and the 'illiterate' category have the highest conversion rates. There is a general upward trend from basic to higher education.,"Higher education correlates with higher subscription rates, likely reflecting greater financial literacy and awareness of term deposit benefits."
fig05,Do housing/personal loans or marital status affect subscription?,"housing loan: no=10.9%, yes=11.6%; single marital: 14.0%",Clients without a housing loan convert at nearly double the rate of those with one. Single clients convert slightly higher than married/divorced.,Existing debt obligations reduce willingness/ability to lock money in a term deposit. Clients with no housing loan have higher disposable savings.
fig06,Does contact method or contact frequency affect subscription?,"cellular=14.7%, telephone=5.2%; first contact rate=13.0%",Cellular contact yields 14.7% vs telephone 5.2%. Subscription rate drops steeply after the 1st contact and is lowest at high contact counts.,Clients reachable by mobile phone are likely more responsive. Repeated calls show diminishing — then negative — returns; persistent calling may cause disengagement. 1-2 contacts is optimal.
fig07,Are certain months or days of week better for campaigns?,"Best month: mar (50.5%), Worst: may (6.4%); Best day: thu (12.1%)","March, September, October and December have the highest conversion rates (>20%), while May has the lowest despite being the highest-volume month. Day-of-week differences are minor (~1 pp spread).","The inverse relationship between call volume and conversion in May suggests mass-calling campaigns sacrifice quality. Low-volume months (Mar, Sep-Dec) likely target more qualified leads. Day of week has negligible impact."
fig08,Does previous campaign outcome predict current subscription?,"poutcome=success: 65.1%, nonexistent: 8.8%; previously contacted: 63.8% vs new: 9.3%",Clients who subscribed in a previous campaign convert at 65.1% — nearly 3x the overall rate. Previously contacted clients (63.8%) also outperform never-contacted clients (9.3%).,Past behaviour is the strongest single categorical predictor. Retargeting clients with a prior 'success' outcome should be the highest-priority segment for any new campaign.
fig09,Do macro-economic conditions drive subscription likelihood?,"Pearson r: emp_var_rate=-0.298, euribor3m=-0.308, cons_conf_idx=0.055",Lower employment variation rates and lower Euribor rates are strongly associated with higher subscription rates. Consumer confidence shows a positive relationship.,"During periods of low interest rates and economic contraction (negative emp_var_rate), clients are more likely to lock savings in term deposits, possibly seeking security. This aligns with the 2008-2012 post-crisis banking context of this dataset."
fig10,Are there multicollinear features that need to be addressed?,High correlations (|r|>0.7): cons_price_idx/emp_var_rate=0.78; euribor3m/emp_var_rate=0.97; nr_employed/emp_var_rate=0.91; nr_employed/euribor3m=0.95,"Strong multicollinearity exists among emp_var_rate, euribor3m, nr_employed, and cons_price_idx — all macro indicators that move together.","These collinear features carry redundant information. For linear models, only one or two should be retained (e.g. euribor3m). Tree-based models are less sensitive but feature importance may be diluted."
